name,type,nyse,
ConAgra Foods Inc,NYSE,CAG,_- Consumer Staples / Packaged Foods & Meats
ConocoPhillips,NYSE,COP,_- Energy / Oil & Gas Exploration & Production
CONSOL Energy Inc.,NYSE,CNX,_- Energy / Coal & Consumable Fuels
"Consolidated Edison, Inc.",NYSE,ED,_- Utilities / Electric Utilities
"Constellation Brands, Inc.",NYSE,STZ,_- Consumer Staples / Distillers & Vintners
Corning Incorporated,NYSE,GLW,_- Industrials / Construction & Engineering
Costco Wholesale Corporation,NASDAQ,COST,_- Consumer Staples / Hypermarkets & Super Centers
Crown Castle International Corp,NYSE,CCI,_- Financials / REITs
CSX Corporation,NYSE,CSX,_- Industrials / Railroads
Cummins Inc.,NYSE,CMI,_- Industrials / Industrial Machinery
CVS Health Corp,NYSE,CVS,_- Consumer Staples / Drug Retail
"D.R. Horton, Inc.",NYSE,DHI,_- Consumer Discretionary / Homebuilding
Danaher Corporation,NYSE,DHR,_- Industrials / Industrial Machinery
"Darden Restaurants, Inc.",NYSE,DRI,_- Consumer Discretionary / Restaurants
DaVita HealthCare Partners Inc,NYSE,DVA,_- Health Care / Health Care Facilities
Deere & Company,NYSE,DE,_- Industrials / Construction & Farm Machinery & Heavy Trucks
Delphi Automotive PLC,NYSE,DLPH,_- Consumer Discretionary / Auto Parts & Equipment
"Delta Air Lines, Inc.",NYSE,DAL,_- Industrials / Airlines
DENTSPLY International Inc.,NASDAQ,XRAY,_- Health Care / Health Care Supplies
Devon Energy Corp,NYSE,DVN,_- Energy / Oil & Gas Exploration & Production
Diamond Offshore Drilling Inc,NYSE,DO,_- Energy / Oil & Gas Drilling
Directv,NASDAQ,DTV,_- Consumer Discretionary / Broadcasting & Cable TV
Discover Financial Services,NYSE,DFS,_- Financials / Consumer Finance
Discovery Communications Inc.,NASDAQ,DISCA,_- Consumer Discretionary / Broadcasting & Cable TV
Dollar General Corp.,NYSE,DG,_- Consumer Discretionary / General Merchandise Stores
"Dollar Tree, Inc.",NASDAQ,DLTR,_- Consumer Discretionary / General Merchandise Stores
"Dominion Resources, Inc.",NYSE,D,_- Utilities / Electric Utilities
Dover Corp,NYSE,DOV,_- Industrials / Industrial Machinery
Dow Chemical Co,NYSE,DOW,_- Materials / Diversified Chemicals
Dr Pepper Snapple Group Inc.,NYSE,DPS,_- Consumer Staples / Soft Drinks
DTE Energy Co,NYSE,DTE,_- Utilities / MultiUtilities
E I Du Pont De Nemours And Co,NYSE,DD,_- Materials / Diversified Chemicals
Duke Energy Corp,NYSE,DUK,_- Utilities / Electric Utilities
Dun & Bradstreet Corp,NYSE,DNB,_- Industrials / Data Processing Services
E*TRADE Financial Corp,NASDAQ,ETFC,_- Financials / Investment Banking & Brokerage
Eastman Chemical Company,NYSE,EMN,_- Materials / Diversified Chemicals
Eaton Corp plc,NYSE,ETN,_- Industrials / Industrial Conglomerates
eBay Inc,NASDAQ,EBAY,_- Information Technology / Internet Software & Services
Ecolab Inc.,NYSE,ECL,_- Materials / Specialty Chemicals
Edison International,NYSE,EIX,_- Utilities / Electric Utilities
Edwards Lifesciences Corp,NYSE,EW,_- Health Care / Health Care Equipment & Services
Electronic Arts Inc.,NASDAQ,EA,_- Information Technology / Home Entertainment Software
EMC Corporation,NYSE,EMC,_- Information Technology / IT Consulting & Services
Emerson Electric Co.,NYSE,EMR,_- Industrials / Industrial Conglomerates
Endo International plc,NASDAQ,ENDP,_- Health Care / Pharmaceuticals
Ensco plc,NYSE,ESV,_- Energy / Oil & Gas Drilling
Entergy Corporation,NYSE,ETR,_- Utilities / Electric Utilities
EOG Resources Inc,NYSE,EOG,_- Energy / Oil & Gas Exploration & Production
EQT Corporation,NYSE,EQT,_- Energy / Oil & Gas Exploration & Production
Equifax Inc.,NYSE,EFX,_- Financials / Diversified Financial Services
Equinix Inc,NASDAQ,EQIX,_- Information Technology / Internet Software & Services
Equity Residential,NYSE,EQR,_- Financials / REITs
Essex Property Trust Inc,NYSE,ESS,_- Financials / Residential REITs
Estee Lauder Companies Inc,NYSE,EL,_- Consumer Staples / Personal Products
Eversource Energy ,NYSE,ES,_- Utilities / MultiUtilities
Exelon Corporation ,NYSE,EXC,_- Utilities / MultiUtilities
Expedia Inc ,NASDAQ,EXPE,"_- Consumer Discretionary / Hotels, Resorts & Cruise Lines"
Expeditors International of Washington ,NASDAQ,EXPD,_- Industrials / Air Freight & Logistics
Express Scripts Holding Company ,NASDAQ,ESRX,_- Health Care / Health Care Distributors & Services
Exxon Mobil Corporation ,NYSE,XOM,_- Energy / Integrated Oil & Gas
