name,type,nyse,
PNC Financial Services Group Inc ,NYSE,PNC,_- Financials / Banks
"PPG Industries, Inc. ",NYSE,PPG,_- Materials / Diversified Chemicals
PPL Corporation ,NYSE,PPL,_- Utilities / Electric Utilities
"Praxair, Inc. ",NYSE,PX,_- Materials / Industrial Gases
Precision Castparts Corp. ,NYSE,PCP,_- Industrials / Industrial Conglomerates
Priceline Group Inc ,NASDAQ,PCLN,"_- Consumer Discretionary / Hotels, Resorts & Cruise Lines"
Principal Financial Group Inc ,NYSE,PFG,_- Financials / Diversified Financial Services
Procter & Gamble Co ,NYSE,PG,_- Consumer Staples / Personal Products
Progressive Corp ,NYSE,PGR,_- Financials / Property & Casualty Insurance
Prologis Inc ,NYSE,PLD,_- Financials / Diversified Financial Services
Prudential Financial Inc ,NYSE,PRU,_- Financials / Diversified Financial Services
Public Service Enterprise Group Inc. ,NYSE,PEG,_- Utilities / Electric Utilities
Public Storage ,NYSE,PSA,_- Financials / REITs
"PulteGroup, Inc. ",NYSE,PHM,_- Consumer Discretionary / Homebuilding
PVH Corp ,NYSE,PVH,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
QEP Resources Inc ,NYSE,QEP,_- Energy / Oil & Gas Exploration & Production
Quanta Services Inc ,NYSE,PWR,_- Industrials / Industrial Conglomerates
"QUALCOMM, Inc. ",NASDAQ,QCOM,_- Information Technology / Semiconductors
Quest Diagnostics Inc ,NYSE,DGX,_- Health Care / Health Care Facilities
Ralph Lauren Corp ,NYSE,RL,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Range Resources Corp. ,NYSE,RRC,_- Energy / Oil & Gas Exploration & Production
Raytheon Company ,NYSE,RTN,_- Industrials / Aerospace & Defense
Realty Income Corp ,NYSE,O,_- Financials / Office REITs
Red Hat Inc ,NYSE,RHT,_- Information Technology / Systems Software
Regeneron Pharmaceuticals Inc ,NASDAQ,REGN,_- Health Care / Biotechnology
Regions Financial Corp ,NYSE,RF,_- Financials / Diversified Financial Services
"Republic Services, Inc. ",NYSE,RSG,_- Industrials / Industrial Conglomerates
"Reynolds American, Inc. ",NYSE,RAI,_- Consumer Staples / Tobacco
Robert Half International Inc. ,NYSE,RHI,
Rockwell Automation ,NYSE,ROK,_- Industrials / Industrial Conglomerates
"Rockwell Collins, Inc. ",NYSE,COL,_- Industrials / Industrial Conglomerates
Roper Technologies Inc ,NYSE,ROP,_- Industrials / Industrial Conglomerates
"Ross Stores, Inc. ",NASDAQ,ROST,_- Consumer Discretionary / Apparel Retail
Royal Caribbean Cruises Ltd ,NYSE,RCL,"_- Consumer Discretionary / Hotel, Resorts and Cruise Lines"
"Ryder System, Inc. ",NYSE,R,_- Industrials / Industrial Conglomerates
"salesforce.com, inc. ",NYSE,CRM,_- Information Technology / Internet Software & Services
SanDisk Corporation ,NASDAQ,SNDK,_- Information Technology / Computer Storage & Peripherals
SCANA Corporation ,NYSE,SCG,_- Utilities / MultiUtilities
Schlumberger Limited. ,NYSE,SLB,_- Energy / Oil & Gas Equipment & Services
"Scripps Networks Interactive, Inc. ",NYSE,SNI,_- Consumer Discretionary / Broadcasting & Cable TV
Seagate Technology PLC ,NASDAQ,STX,#NAME?
Sealed Air Corp ,NYSE,SEE,_- Materials / Paper Packaging
Sempra Energy ,NYSE,SRE,_- Utilities / MultiUtilities
Sherwin-Williams Co ,NYSE,SHW,_- Materials / Specialty Chemicals
Sigma-Aldrich Corporation ,NASDAQ,SIAL,_- Materials / Diversified Chemicals
Simon Property Group Inc ,NYSE,SPG,_- Financials / REITs
Skyworks Solutions Inc ,NASDAQ,SWKS,_- Information Technology / Semiconductors
SL Green Realty Corp ,NYSE,SLG,_- Financials / Office REITs
Smucker ,J.M.,, 
Snap-on Incorporated ,NYSE,SNA,_- Consumer Discretionary / Household Appliances
Southern Co ,NYSE,SO,_- Utilities / Electric Utilities
Southwest Airlines Co ,NYSE,LUV,_- Industrials / Airlines
Southwestern Energy Company ,NYSE,SWN,_- Energy / Oil & Gas Exploration & Production
Spectra Energy Corp. ,NYSE,SE,_- Energy / Oil & Gas Refining & Marketing & Transportation
"St. Jude Medical, Inc. ",NYSE,STJ,_- Health Care / Health Care Equipment & Services
"Stanley Black & Decker, Inc. ",NYSE,SWK,_- Consumer Discretionary / Household Appliances
"Staples, Inc. ",NASDAQ,SPLS,_- Consumer Discretionary / Specialty Stores
Starbucks Corporation ,NASDAQ,SBUX,_- Consumer Discretionary / Restaurants
Starwood Hotels & Resorts Worldwide Inc ,NYSE,HOT,"_- Consumer Discretionary / Hotels, Resorts & Cruise Lines"
State Street Corp ,NYSE,STT,_- Financials / Diversified Financial Services
Stericycle Inc ,NASDAQ,SRCL,_- Industrials / Industrial Conglomerates
Stryker Corporation ,NYSE,SYK,_- Health Care / Health Care Equipment & Services
"SunTrust Banks, Inc. ",NYSE,STI,_- Financials / Banks
Symantec Corporation ,NASDAQ,SYMC,_- Information Technology /_
Application Software,,,
SYSCO Corporation ,NYSE,SYY,_- Consumer Staples / Food Distributors
T. Rowe Price Group Inc ,NASDAQ,TROW,_- Financials / Diversified Financial Services
Target Corporation ,NYSE,TGT,_- Consumer Discretionary / General Merchandise Stores
TE Connectivity Ltd ,NYSE,TEL,_- Information Technology / Electronic Equipment & Instruments
"TECO Energy, Inc. ",NYSE,TE,_- Utilities / Electric Utilities
Tenet Healthcare Corp ,NYSE,THC,_- Health Care / Health Care Facilities
Teradata Corporation ,NYSE,TDC,_- Information Technology / Application Software
Tesoro Corporation ,NYSE,TSO,_- Energy / Oil & Gas Refining & Marketing & Transportation
Texas Instruments Incorporated ,NASDAQ,TXN,_- Information Technology / Semiconductors
Textron Inc. ,NYSE,TXT,_- Industrials / Industrial Conglomerates
Travelers Companies Inc ,NYSE,TRV,_- Financials / Property & Casualty Insurance
Thermo Fisher Scientific Inc. ,NYSE,TMO,_- Health Care / Health Care Equipment & Services
Tiffany & Co. ,NYSE,TIF,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Time Warner Inc ,NYSE,TWX,_- Consumer Discretionary / Broadcasting & Cable TV
Time Warner Cable Inc ,NYSE,TWC,_- Consumer Discretionary / Broadcasting & Cable TV
TJX Companies Inc ,NYSE,TJX,_- Consumer Discretionary / Apparel Retail
Torchmark Corporation ,NYSE,TMK,_- Financials / Life & Health Insurance
"Total System Services, Inc. ",NYSE,TSS,_- Information Technology / Internet Software & Services
Tractor Supply Company ,NASDAQ,TSCO,_- Consumer Discretionary / Specialty Retail
Transocean LTD ,NYSE,RIG,_- Energy / Oil & Gas Drilling
Tripadvisor Inc ,NASDAQ,TRIP,_- Consumer Discretionary / Internet Retail
Twenty-First Century Fox Inc ,NASDAQ,FOXA,_- Consumer Discretionary / Publishing
"Tyson Foods, Inc. ",NYSE,TSN,_- Consumer Staples / Packaged Foods & Meats
Tyco International ,NYSE,TYC,_- Industrials / Industrial Conglomerates
U.S. Bancorp ,NYSE,USB,_- Financials / Banks
Under Armour Inc ,NYSE,UA,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Union Pacific Corporation ,NYSE,UNP,_- Industrials / Railroads
UnitedHealth Group Inc. ,NYSE,UNH,_- Health Care / Managed Health Care
"United Parcel Service, Inc. ",NYSE,UPS,_- Industrials / Air Freight & Logistics
"United Rentals, Inc. ",NYSE,URI,_- Industrials / Trading Companies & Distributors
United Technologies Corporation ,NYSE,UTX,_- Industrials / Industrial Conglomerates
"Universal Health Services, Inc. ",NYSE,UHS,_- Health Care / Health Care Facilities
Unum Group ,NYSE,UNM,_- Financials / Diversified Financial Services
"Urban Outfitters, Inc. ",NASDAQ,URBN,_- Consumer Discretionary / Apparel Retail
VF Corp ,NYSE,VFC,"_- Consumer Discretionary / Apparel, Accessories & Luxury Goods"
Valero Energy Corporation ,NYSE,VLO,_- Energy / Oil & Gas Refining & Marketing & Transportation
"Varian Medical Systems, Inc. ",NYSE,VAR,_- Health Care / Health Care Equipment & Services
"Ventas, Inc. ",NYSE,VTR,_- Financials / Diversified Financial Services
"Verisign, Inc. ",NASDAQ,VRSN,_- Information Technology / Internet Software & Services
Verizon Communications Inc. ,NYSE,VZ,_- Telecommunications Services / Integrated Telecommunications Services
Vertex Pharmaceuticals Incorporated ,NASDAQ,VRTX,_- Health Care / Biotechnology
"Viacom, Inc. ",NASDAQ,VIAB,_- Consumer Discretionary / Broadcasting & Cable TV
Visa Inc ,NYSE,V,_- Information Technology / Internet Software & Services
Vornado Realty Trust ,NYSE,VNO,_- Financials / REITs
Vulcan Materials Company ,NYSE,VMC,_- Materials / Construction Materials
"Wal-Mart Stores, Inc. ",NYSE,WMT,_- Consumer Staples / Hypermarkets & Super Centers
Walgreens Boots Alliance Inc ,NYSE,WAG,_- Consumer Staples / Drug Retail
Walt Disney Co ,NYSE,DIS,_- Consumer Discretionary / Broadcasting & Cable TV
"Waste Management, Inc. ",NYSE,WM,_- Industrials / Environmental Services
Waters Corporation ,NYSE,WAT,_- Health Care / Health Care Distributors & Services
Wells Fargo & Co ,NYSE,WFC,_- Financials / Banks
Western Digital Corp ,NASDAQ,WDC,_- Information Technology / Computer Storage & Peripherals
Western Union Company ,NYSE,WU,_- Information Technology / Internet Software & Services
Weyerhaeuser Co ,NYSE,WY,_- Financials / REITs
Whirlpool Corporation ,NYSE,WHR,_- Consumer Discretionary / Household Appliances
"Whole Foods Market, Inc. ",NASDAQ,WFM,_- Consumer Staples / Food Retail
Williams Companies Inc ,NYSE,WMB,_- Energy / Oil & Gas Exploration & Production
Wisconsin Energy Corp ,NYSE,WEC,_- Utilities / Electric Utilities
Wyndham Worldwide Corporation ,NYSE,WYN,"_- Consumer Discretionary / Hotels, Resorts & Cruise Lines"
"Wynn Resorts, Ltd ",NASDAQ,WYNN,_- Consumer Discretionary / Casinos & Gaming
Xcel Energy Inc ,NYSE,XEL,_- Utilities / MultiUtilities
Xerox Corp ,NYSE,XRX,_- Information Technology / IT Consulting & Services
"Xilinx, Inc. ",NASDAQ,XLNX,_- Information Technology / Semiconductors
XL Group plc ,NYSE,XL,_- Financials / Property & Casualty Insurance
Xylem Inc ,NYSE,XYL,_- Industrials / Industrial Conglomerates
Yahoo! Inc. ,NASDAQ,YHOO,_- Information Technology / Internet Software & Services
"Yum! Brands, Inc. ",NYSE,YUM,_- Consumer Discretionary / Restaurants
"Zimmer Holdings, Inc. ",NYSE,ZMH,_- Health Care / Health Care Equipment & Services
Zions Bancorporation ,NASDAQ,ZION,_- Financials / Banks
Zoetis Inc ,NYSE,ZTS,_- Health Care / Pharmaceuticals
